"","x"
"1",1.08680979645452
"2",0.895291982751946
"3",1.41475454323027
"4",0.517193218548376
"5",0.74932306386355
"6",0.686896784256101
"7",1.1084090712364
"8",0.904577474622267
"9",0.91375621530556
"10",0.835403289582976
"11",1.07087996359457
"12",0.777274478252205
"13",0.792081522114204
"14",1.25366312093205
"15",0.83494937646369
"16",0.3259957601455
"17",0.466581564672369
"18",0.991542989361065
"19",0.871338969497253
"20",0.768233463793675
"21",1.15538895235555
"22",0.782083934592052
"23",0.713922875937576
"24",1.22519065362855
"25",0.64220051110288
"26",0.607546178268046
"27",0.815569491645804
"28",0.652102615892108
"29",0.733422441138932
"30",1.38391697757132
"31",0.903283097812915
"32",1.14284340188525
"33",0.975600798691719
"34",0.659047919426169
"35",0.313362848710131
"36",0.908096279323579
"37",0.661581900474331
"38",0.987764096313553
"39",0.885629108680711
"40",0.757663061667173
"41",0.454106838105942
"42",0.860331218048038
"43",1.05751416520624
"44",0.941078374130375
"45",0.141709480973549
"46",0.835853073548485
"47",0.911888921173162
"48",0.646125025104271
"49",0.945809729658171
"50",0.604318132489841
"51",1.581251900022
"52",0.5122963614426
"53",0.982226459218016
"54",0.965656139482683
"55",0.925669367876638
"56",0.982792668482525
"57",0.388551283731172
"58",1.5889390028366
"59",1.18135348960314
"60",1.15146602449594
"61",0.666873062158133
"62",0.863369015186636
"63",0.793574680274222
"64",1.11503564387512
"65",0.695322856530101
"66",0.518666830160596
"67",1.14389309552241
"68",0.728865806614988
"69",0.515353374621322
"70",1.9861221077233
"71",0.653705553820254
"72",0.852985681479432
"73",1.14411731146011
"74",0.995550016960057
"75",0.996004506431292
"76",1.13586622179315
"77",0.616430129492922
"78",1.18338321794245
"79",0.841286569418222
"80",1.44422446059731
"81",0.874222122097402
"82",0.417973186014261
"83",0.724329961665483
"84",1.37913586902097
"85",0.696312598241145
"86",1.17030289713172
"87",0.219777450967955
"88",0.984983713585831
"89",0.854015021110682
"90",0.810324862584465
"91",1.63332808301253
"92",1.3627762971478
"93",1.13425557091575
"94",0.666173035800833
"95",0.612940022833833
"96",1.02608507135549
"97",0.740153916547466
"98",0.465366626849618
"99",0.588604001845314
"100",0.874289305420084
"101",0.599197149163993
"102",0.871396255104496
"103",0.713675932716815
"104",0.532017532777171
"105",0.877779488429384
"106",1.04952503392145
"107",0.493100401996703
"108",1.26461511481661
"109",0.814110505151066
"110",1.43445439440539
"111",1.45020357828093
"112",0.614223606697429
"113",0.672002723290412
"114",0.984020395329706
"115",1.17423310393852
"116",0.949008939381108
